Date,1y-3y Avg,3y-5y Avg,5y-10y Avg,Over 10y Avg,Price,3y-5y Avg_A,5y-10y Avg_A,Over 10y Avg_A,Price_A,WTI_oil_b
02/02/2022,1.22,1.53,1.7,2.04,88.26,0.4522445820433436,0.3939473684210526,0.33506191950464426,23.50035036496351,23.50035036496351
02/03/2020,1.46,1.32,1.27,1.38,50.11,0.24224458204334365,-0.036052631578947336,-0.3249380804953559,-14.649649635036496,-14.649649635036496
02/03/2021,0.17,0.37,0.75,1.4,55.69,-0.7077554179566564,-0.5560526315789474,-0.30493808049535587,-9.069649635036498,-9.069649635036498
02/03/2022,1.22,1.55,1.73,2.06,90.27,0.47224458204334363,0.42394736842105263,0.3550619195046443,25.5103503649635,25.5103503649635
02/04/2020,1.51,1.39,1.34,1.43,49.61,0.3122445820433435,0.033947368421052726,-0.27493808049535584,-15.149649635036496,-15.149649635036496
02/04/2021,0.17,0.38,0.76,1.43,56.23,-0.6977554179566564,-0.5460526315789473,-0.27493808049535584,-8.529649635036499,-8.529649635036499
02/04/2022,1.29,1.62,1.8,2.1,92.31,0.5422445820433437,0.4939473684210527,0.3950619195046443,27.550350364963506,27.550350364963506
02/05/2020,1.54,1.43,1.4,1.48,50.75,0.3522445820433435,0.09394736842105256,-0.2249380804953558,-14.009649635036496,-14.009649635036496
02/05/2021,0.17,0.39,0.79,1.47,56.85,-0.6877554179566564,-0.5160526315789473,-0.2349380804953558,-7.909649635036494,-7.909649635036494
02/06/2020,1.53,1.42,1.38,1.46,50.95,0.3422445820433435,0.07394736842105254,-0.24493808049535581,-13.809649635036493,-13.809649635036493
02/07/2020,1.51,1.39,1.34,1.41,50.32,0.3122445820433435,0.033947368421052726,-0.29493808049535586,-14.439649635036496,-14.439649635036496
02/07/2022,1.27,1.59,1.78,2.09,91.32,0.5122445820433437,0.4739473684210527,0.3850619195046441,26.560350364963497,26.560350364963497
02/08/2021,0.18,0.39,0.8,1.47,57.97,-0.6877554179566564,-0.5060526315789473,-0.2349380804953558,-6.789649635036497,-6.789649635036497
02/08/2022,1.28,1.61,1.81,2.13,89.36,0.5322445820433437,0.5039473684210527,0.4250619195046441,24.600350364963504,24.600350364963504
02/09/2021,0.17,0.39,0.79,1.46,58.36,-0.6877554179566564,-0.5160526315789473,-0.24493808049535581,-6.399649635036496,-6.399649635036496
02/09/2022,1.29,1.6,1.8,2.13,89.66,0.5222445820433437,0.4939473684210527,0.4250619195046441,24.9003503649635,24.9003503649635
